propuesta_vuelo_id;estado;codigo;fecha_salida;fecha_llegada;fecha_envio_propuesta;velocidad;altitud;tipo_vuelo;max_pasajeros;realizado
112;aceptado;LAW1451;08/05/2022 8:04;08/05/2022 12:22;08/04/2022 8:04;22578;1247826;comercial;560;realizado
122;aceptado;LAW7592;03/04/2022 17:01;03/04/2022 17:05;03/03/2022 17:01;;;;;
32;pendiente;COG1158;25/06/2022 0:09;25/06/2022 2:47;25/05/2022 0:09;;;;;
169;aceptado;UAN2468;18/06/2022 18:52;18/06/2022 19:32;18/05/2022 18:52;22252;1021864;comercial;5340;realizado
168;aceptado;UAN1658;07/04/2022 11:18;07/04/2022 16:04;07/03/2022 11:18;;;;;
131;aceptado;LRC4781;01/05/2022 12:06;02/05/2022 5:30;01/04/2022 12:06;24921;107641;comercial;3560;realizado
118;aceptado;LAW5896;07/05/2022 18:43;08/05/2022 22:50;07/04/2022 18:43;25116;1042581;comercial;700;realizado
182;aceptado;UCA2699;22/05/2022 10:00;22/05/2022 13:00;22/04/2022 10:00;;;;;
1;pendiente;ADC4277;13/05/2022 14:38;13/05/2022 15:46;13/04/2022 14:38;;;;;
102;aceptado;LAT1186;01/04/2022 6:33;01/04/2022 7:46;01/03/2022 6:33;23187;1166706;comercial;820;realizado
77;pendiente;KAI5174;10/05/2022 0:21;10/05/2022 8:36;10/04/2022 0:21;;;;;
78;aceptado;KAI6386;29/04/2022 11:26;29/04/2022 19:26;29/03/2022 11:26;;;;;
139;aceptado;LUD3851;26/04/2022 5:35;26/04/2022 11:05;26/03/2022 5:35;23213;1295777;comercial;2090;no realizado
53;aceptado;ETA6742;15/04/2022 9:36;15/04/2022 17:22;15/03/2022 9:36;;;;;
175;pendiente;UAN6566;13/05/2022 6:38;13/05/2022 21:24;13/04/2022 6:38;;;;;
131;aceptado;LRC4781;01/05/2022 12:06;02/05/2022 5:30;01/04/2022 12:06;;;;;
120;aceptado;LAW6351;27/04/2022 20:26;28/04/2022 17:11;27/03/2022 20:26;;;;;
68;aceptado;KAI2237;08/06/2022 17:30;08/06/2022 20:03;08/05/2022 17:30;;;;;
173;aceptado;UAN5954;27/05/2022 14:57;27/05/2022 17:59;27/04/2022 14:57;;;;;
167;aceptado;QAF8375;05/06/2022 6:12;05/06/2022 21:27;05/05/2022 6:12;;;;;
190;aceptado;XLE2673;08/06/2022 17:04;08/06/2022 23:05;08/05/2022 17:04;;;;;
92;aceptado;KEA7139;07/04/2022 10:27;07/04/2022 21:54;07/03/2022 10:27;27985;1226046;comercial;5340;realizado
161;aceptado;NCY9851;14/04/2022 18:14;14/04/2022 19:12;14/03/2022 18:14;2506;1202869;comercial;2090;realizado
91;aceptado;KEA5763;19/06/2022 5:56;20/06/2022 12:08;19/05/2022 5:56;23096;1013799;comercial;5340;realizado
158;aceptado;NCY6746;31/05/2022 5:08;31/05/2022 12:50;30/04/2022 5:08;23106;1149306;comercial;660;realizado
75;aceptado;KAI2862;05/05/2022 11:22;05/05/2022 15:36;05/04/2022 11:22;23489;1151773;comercial;410;realizado
154;aceptado;NCY4311;02/05/2022 3:59;02/05/2022 17:29;02/04/2022 3:59;;;;;
125;aceptado;LAW9189;19/05/2022 5:39;19/05/2022 10:33;19/04/2022 5:39;23999;1274055;comercial;560;realizado
126;aceptado;LAW9612;25/05/2022 6:09;26/05/2022 15:04;25/04/2022 6:09;26291;1100993;comercial;5340;no realizado
115;aceptado;LAW3477;23/05/2022 19:15;23/05/2022 19:30;23/04/2022 19:15;27952;1126199;comercial;3560;realizado
149;aceptado;MPH4719;19/06/2022 8:57;19/06/2022 16:53;19/05/2022 8:57;23204;116731;comercial;890;realizado
152;aceptado;NCY3184;02/04/2022 15:26;03/04/2022 4:04;02/03/2022 15:26;2353;1011819;comercial;5640;realizado
5;aceptado;ADC8249;29/05/2022 1:26;29/05/2022 22:55;29/04/2022 1:26;23014;1233198;comercial;660;realizado
48;pendiente;EAL9981;17/04/2022 2:42;17/04/2022 21:15;17/03/2022 2:42;22676;1019387;comercial;720;no realizado
148;aceptado;MPH1782;04/05/2022 19:23;04/05/2022 20:48;04/04/2022 19:23;24849;1214815;comercial;2090;realizado
32;pendiente;COG1158;25/06/2022 0:09;25/06/2022 2:47;25/05/2022 0:09;25823;1249579;comercial;700;no realizado
